user_id,user_name,city,product_id,product_name,category,brand,price_ghs,order_id,order_date,order_month,quantity,unit_price_ghs,total_item_value_ghs,payment_amount_ghs,payment_method,last_view_date,views_count
U01933,Esi Adjei,Ho,P0104,Ultra Phone 104,Beauty,Aseda,2519.29,O0000001,8/4/2025 2:18,August,1,2519.29,2519.29,,paypal,,0
U01520,Abigail Addo,Accra,P0017,Easy Shirt 17,Sports,Aseda,747.42,O0000002,9/13/2024 10:09,September,1,747.42,747.42,832.81,card,,0
U02093,Kofi Boateng,Ho,P0107,Pro Shirt 107,Sports,Koala,1740.27,O0000003,9/16/2023 22:57,September,1,1740.27,1740.27,,card,,0
U01021,Abena Acheampong,Accra,P0179,Classic Book 179,Electronics,AccraGoods,1978.11,O0000004,9/23/2025 15:55,September,1,1978.11,1978.11,,paypal,,0
U01021,Abena Acheampong,Accra,P0074,Neo Cream 74,Home,TemaHome,2701.14,O0000004,9/23/2025 15:55,September,2,2701.14,5402.28,,paypal,,0
U01779,Kwame Mensah,Ho,P0087,Easy Cream 87,Grocery,KofiTech,2446.87,O0000005,9/30/2024 10:52,September,1,2446.87,2446.87,5375.59,cash,,0
U01779,Kwame Mensah,Ho,P0149,Pro Ball 149,Electronics,TemaHome,2609.41,O0000005,9/30/2024 10:52,September,1,2609.41,2609.41,5375.59,cash,,0
U00632,Sarpong Addo,Kumasi,P0182,Eco Blender 182,Electronics,Nyame,2367.95,O0000006,4/11/2025 11:50,April,1,2367.95,2367.95,2655.55,mobile_money,,0
U01945,Linda Boateng,Ho,P0118,Smart Cream 118,Sports,Nyame,846.18,O0000007,10/31/2025 1:03,October,2,846.18,1692.36,1829.03,card,,0
U01112,Sarpong Adjei,Takoradi,P0074,Neo Cream 74,Home,TemaHome,2701.14,O0000008,5/30/2024 12:31,May,1,2701.14,2701.14,4813.52,card,9/10/2025 3:11,1
U01112,Sarpong Adjei,Takoradi,P0085,Ultra Blender 85,Books,Aseda,535.9,O0000008,5/30/2024 12:31,May,1,535.9,535.9,4813.52,card,,0
U01112,Sarpong Adjei,Takoradi,P0110,Pro Phone 110,Toys,KofiTech,1290.85,O0000008,5/30/2024 12:31,May,1,1290.85,1290.85,4813.52,card,,0
U01927,Esi Ofori,Sunyani,P0158,Prime Cream 158,Sports,AccraGoods,17.67,O0000009,9/30/2025 8:53,September,1,17.67,17.67,72.28,paypal,,0
U01452,Sarpong Mensah,Cape Coast,P0129,Classic Lamp 129,Grocery,Amanfuo,1028.71,O0000010,10/6/2025 8:22,October,1,1028.71,1028.71,1151.06,paypal,,0
U00120,Abena Owusu,Takoradi,P0054,Eco Book 54,Home,Koala,2229.83,O0000011,12/30/2024 21:09,December,1,2229.83,2229.83,2390.56,mobile_money,,0
U01122,Kwame Asare,Accra,P0124,Pro Sneaker 124,Toys,Koala,2231.21,O0000012,5/3/2025 17:28,May,2,2231.21,4462.42,,paypal,,0
U01127,Esi Asare,Kumasi,P0032,Ultra Sneaker 32,Home,Koala,2580.31,O0000013,8/26/2025 19:20,August,3,2580.31,7740.93,8009.51,paypal,,0
U00754,Yaw Boateng,Kumasi,P0037,Pro Sneaker 37,Beauty,Aseda,1613.49,O0000014,10/17/2025 18:27,October,1,1613.49,1613.49,1801.43,cash,,0
U01661,Abena Kwarteng,Sunyani,P0049,Classic Ball 49,Clothing,TemaHome,1940.05,O0000015,1/9/2025 4:38,January,1,1940.05,1940.05,5546.29,paypal,,0
U01661,Abena Kwarteng,Sunyani,P0118,Smart Cream 118,Sports,Nyame,846.18,O0000015,1/9/2025 4:38,January,1,846.18,846.18,5546.29,paypal,,0
U01661,Abena Kwarteng,Sunyani,P0150,Prime Phone 150,Beauty,KofiTech,1091.72,O0000015,1/9/2025 4:38,January,2,1091.72,2183.44,5546.29,paypal,,0
U01075,Ama Asare,Tamale,P0021,Classic Phone 21,Home,TemaHome,2655.52,O0000016,8/17/2025 11:43,August,3,2655.52,7966.56,9915.27,paypal,,0
U01075,Ama Asare,Tamale,P0029,Prime Sneaker 29,Beauty,TemaHome,942.03,O0000016,8/17/2025 11:43,August,1,942.03,942.03,9915.27,paypal,,0
U01680,Yaw Asare,Accra,P0007,Neo Book 7,Electronics,TemaHome,1383.68,O0000017,8/10/2025 1:39,August,1,1383.68,1383.68,5095.7,mobile_money,,0
U01680,Yaw Asare,Accra,P0141,Classic Lamp 141,Home,Amanfuo,2069.15,O0000017,8/10/2025 1:39,August,1,2069.15,2069.15,5095.7,mobile_money,,0
U01680,Yaw Asare,Accra,P0085,Ultra Blender 85,Books,Aseda,535.9,O0000017,8/10/2025 1:39,August,1,535.9,535.9,5095.7,mobile_money,,0
U01680,Yaw Asare,Accra,P0029,Prime Sneaker 29,Beauty,TemaHome,942.03,O0000017,8/10/2025 1:39,August,1,942.03,942.03,5095.7,mobile_money,,0
U01644,Kofi Acheampong,Accra,P0070,Classic Phone 70,Home,KofiTech,1309.35,O0000018,4/3/2024 1:14,April,1,1309.35,1309.35,1433.12,card,,0
U01114,Michael Boateng,Accra,P0171,Ultra Cream 171,Electronics,Nyame,1081.81,O0000019,6/4/2024 10:44,June,1,1081.81,1081.81,-932.94,cash,,0
U01153,Kwesi Boateng,Accra,P0140,Classic Shirt 140,Home,Koala,506.11,O0000020,12/24/2024 22:56,December,1,506.11,506.11,2079.3,card,,0
U01153,Kwesi Boateng,Accra,P0068,Pro Book 68,Toys,TemaHome,1533.12,O0000020,12/24/2024 22:56,December,1,1533.12,1533.12,2079.3,card,,0
U00303,Ama Mensah,Accra,P0024,Classic Sneaker 24,Clothing,Nyame,2289.91,O0000021,10/15/2025 18:33,October,1,2289.91,2289.91,11680.14,mobile_money,,0
U00303,Ama Mensah,Accra,P0003,Smart Phone 3,Beauty,TemaHome,1953.15,O0000021,10/15/2025 18:33,October,3,1953.15,5859.45,11680.14,mobile_money,,0
U00303,Ama Mensah,Accra,P0149,Pro Ball 149,Electronics,TemaHome,2609.41,O0000021,10/15/2025 18:33,October,1,2609.41,2609.41,11680.14,mobile_money,,0
U00662,Yaw Nketia,Kumasi,P0144,Ultra Book 144,Electronics,AccraGoods,2271.24,O0000022,12/20/2024 10:51,December,1,2271.24,2271.24,2423.16,mobile_money,,0
U00163,Yaw Nketia,Kumasi,P0032,Ultra Sneaker 32,Home,Koala,2580.31,O0000023,3/7/2024 21:16,March,2,2580.31,5160.62,,cash,,0
U01239,Linda Addo,Accra,P0016,Neo Sneaker 16,Grocery,Amanfuo,2655.2,O0000024,9/2/2024 14:03,September,1,2655.2,2655.2,6659.84,mobile_money,,0
U01239,Linda Addo,Accra,P0051,Pro Blender 51,Beauty,KofiTech,802.95,O0000024,9/2/2024 14:03,September,1,802.95,802.95,6659.84,mobile_money,,0
